date,code,high,low,open,close,volume
2021.11.01,601975.SH,1.95,1.92,1.95,1.94,22105292
2021.11.02,601975.SH,1.94,1.9,1.93,1.92,31795181
2021.11.03,601975.SH,1.93,1.9,1.91,1.93,23128660
2021.11.04,601975.SH,1.93,1.91,1.93,1.92,17877731
2021.11.05,601975.SH,1.93,1.91,1.92,1.91,17077035
2021.11.08,601975.SH,1.93,1.9,1.91,1.92,20528906
2021.11.09,601975.SH,1.93,1.91,1.92,1.92,17947170
2021.11.10,601975.SH,1.92,1.9,1.92,1.92,24256505
2021.11.11,601975.SH,1.95,1.91,1.92,1.94,31970630
2021.11.12,601975.SH,1.96,1.94,1.95,1.95,18123203
2021.11.15,601975.SH,1.97,1.94,1.96,1.95,26206735
2021.11.16,601975.SH,1.97,1.94,1.96,1.94,25745190
2021.11.17,601975.SH,1.96,1.93,1.95,1.95,24773762
2021.11.18,601975.SH,1.96,1.94,1.95,1.94,22046622
2021.11.19,601975.SH,1.96,1.94,1.94,1.96,16328134
2021.11.22,601975.SH,1.97,1.94,1.96,1.94,24758238
2021.11.23,601975.SH,1.97,1.93,1.94,1.95,32032076
2021.11.24,601975.SH,1.97,1.95,1.95,1.96,24297039
2021.11.25,601975.SH,1.97,1.94,1.96,1.96,23853454
2021.11.26,601975.SH,1.96,1.93,1.95,1.94,23719549
2021.11.29,601975.SH,1.94,1.92,1.93,1.93,26315363
2021.11.30,601975.SH,1.97,1.92,1.93,1.94,35494040
2021.12.01,601975.SH,1.96,1.93,1.94,1.96,35164875
2021.12.02,601975.SH,1.97,1.94,1.95,1.95,33640407
2021.12.03,601975.SH,2.03,1.95,1.96,2.0,76995218
2021.12.06,601975.SH,2.0,1.96,1.99,1.96,50734641
2021.12.07,601975.SH,1.98,1.95,1.98,1.96,29761062
2021.12.08,601975.SH,1.97,1.95,1.97,1.96,27813222
2021.12.09,601975.SH,1.98,1.95,1.96,1.97,26414122
2021.12.10,601975.SH,1.98,1.96,1.97,1.97,30093544
2021.12.13,601975.SH,1.98,1.95,1.97,1.96,29060536
2021.12.14,601975.SH,1.96,1.94,1.95,1.95,25346556
2021.12.15,601975.SH,1.97,1.94,1.95,1.96,29171427
2021.12.16,601975.SH,1.98,1.95,1.96,1.98,29405882
2021.12.17,601975.SH,2.0,1.97,1.98,1.99,49518431
2021.12.20,601975.SH,2.05,1.98,1.98,2.02,83037448
2021.12.21,601975.SH,2.1,2.02,2.02,2.09,110105959
2021.12.22,601975.SH,2.11,2.04,2.1,2.05,88087248
2021.12.23,601975.SH,2.07,2.02,2.04,2.03,53376256
2021.12.24,601975.SH,2.04,1.99,2.03,2.02,42179180
2021.12.27,601975.SH,2.03,2.01,2.01,2.01,28232486
2021.12.28,601975.SH,2.02,1.98,2.01,1.99,31888178
2021.12.29,601975.SH,2.02,1.98,2.0,2.01,34416278
2021.12.30,601975.SH,2.01,1.99,2.0,2.01,31827537
2021.12.31,601975.SH,2.02,1.99,2.0,2.01,25079156
2022.01.04,601975.SH,2.06,2.01,2.01,2.05,62804038
2022.01.05,601975.SH,2.06,2.03,2.05,2.04,47548076
2022.01.06,601975.SH,2.06,2.03,2.04,2.05,37278404
2022.01.07,601975.SH,2.11,2.04,2.05,2.07,86543541
2022.01.10,601975.SH,2.1,2.07,2.07,2.09,52768534
2022.01.11,601975.SH,2.1,2.08,2.08,2.09,38591702
2022.01.12,601975.SH,2.1,2.05,2.1,2.06,34946987
2022.01.13,601975.SH,2.12,2.06,2.07,2.07,55625571
2022.01.14,601975.SH,2.08,2.02,2.08,2.03,44810462
2022.01.17,601975.SH,2.05,2.02,2.03,2.03,22122959
2022.01.18,601975.SH,2.03,1.99,2.03,2.01,49182279
2022.01.19,601975.SH,2.05,2.0,2.0,2.02,38172966
2022.01.20,601975.SH,2.05,2.02,2.03,2.03,29161335
2022.01.21,601975.SH,2.04,2.0,2.03,2.0,32199311
2022.01.24,601975.SH,2.01,1.96,2.0,1.96,40640684
2022.01.25,601975.SH,1.97,1.89,1.96,1.89,56821792
2022.01.26,601975.SH,1.93,1.89,1.89,1.92,32455184
2022.01.27,601975.SH,1.92,1.88,1.92,1.89,48526863
2022.01.28,601975.SH,1.91,1.88,1.9,1.89,40569583
2022.02.07,601975.SH,1.96,1.89,1.9,1.95,59739244
2022.02.08,601975.SH,2.06,1.94,1.95,2.05,105350352
2022.02.09,601975.SH,2.07,2.02,2.05,2.07,66771758
2022.02.10,601975.SH,2.08,2.05,2.07,2.07,53948332
2022.02.11,601975.SH,2.08,2.04,2.07,2.05,50476827
2022.02.14,601975.SH,2.07,2.03,2.05,2.04,54806808
2022.02.15,601975.SH,2.05,2.0,2.05,2.01,40415787
2022.02.16,601975.SH,2.05,2.0,2.02,2.02,41518050
2022.02.17,601975.SH,2.03,1.99,2.02,2.0,33886684
2022.02.18,601975.SH,2.03,1.98,1.99,2.02,36322127
2022.02.21,601975.SH,2.05,2.01,2.02,2.04,35232229
2022.02.22,601975.SH,2.05,1.99,2.03,2.01,45312650
2022.02.23,601975.SH,2.04,2.01,2.01,2.01,42378103
2022.02.24,601975.SH,2.02,1.95,2.02,1.97,53615988
2022.02.25,601975.SH,2.03,1.98,1.98,2.0,50151893
2022.02.28,601975.SH,2.05,2.01,2.03,2.04,69891022
2022.03.01,601975.SH,2.06,2.02,2.04,2.03,47309358
2022.03.02,601975.SH,2.08,2.03,2.04,2.08,74597878
2022.03.03,601975.SH,2.29,2.07,2.09,2.23,380583841
2022.03.04,601975.SH,2.2,2.11,2.2,2.14,268700754
2022.03.07,601975.SH,2.18,2.07,2.14,2.08,156694675
2022.03.08,601975.SH,2.1,2.0,2.09,2.01,118573871
2022.03.09,601975.SH,2.03,1.9,2.02,1.94,128097067
2022.03.10,601975.SH,1.98,1.93,1.96,1.94,84406868
2022.03.11,601975.SH,1.96,1.88,1.93,1.95,86149133
2022.03.14,601975.SH,1.96,1.9,1.94,1.91,63793239
2022.03.15,601975.SH,1.91,1.8,1.9,1.8,120748089
2022.03.16,601975.SH,1.86,1.78,1.82,1.86,74441450
2022.03.17,601975.SH,1.89,1.85,1.86,1.86,65423257
2022.03.18,601975.SH,1.89,1.84,1.85,1.88,53944671
2022.03.21,601975.SH,1.9,1.86,1.88,1.88,44359620
2022.03.22,601975.SH,1.9,1.86,1.87,1.89,49135631
2022.03.23,601975.SH,1.9,1.87,1.89,1.89,39342596
2022.03.24,601975.SH,1.89,1.85,1.88,1.86,33766302
2022.03.25,601975.SH,1.88,1.85,1.86,1.85,34835853
2022.03.28,601975.SH,1.94,1.83,1.85,1.91,80681332
2022.03.29,601975.SH,1.96,1.89,1.9,1.91,70970494
2022.03.30,601975.SH,1.91,1.88,1.9,1.9,49543722
2022.03.31,601975.SH,1.92,1.89,1.91,1.91,44523504
2022.04.01,601975.SH,1.97,1.9,1.92,1.96,108610070
2022.04.06,601975.SH,2.0,1.93,1.95,1.99,88795077
2022.04.07,601975.SH,2.03,1.95,1.99,1.95,75714597
2022.04.08,601975.SH,1.97,1.92,1.96,1.94,46444838
2022.04.11,601975.SH,1.98,1.9,1.96,1.91,63178225
2022.04.12,601975.SH,1.99,1.9,1.91,1.99,89923649
2022.04.13,601975.SH,2.03,1.96,1.98,1.98,109148944
2022.04.14,601975.SH,2.01,1.97,1.98,1.99,71149699
2022.04.15,601975.SH,2.0,1.94,1.98,1.95,58963817
2022.04.18,601975.SH,1.96,1.91,1.96,1.93,47411173
2022.04.19,601975.SH,1.96,1.92,1.94,1.95,39900794
2022.04.20,601975.SH,1.96,1.91,1.94,1.92,49523986
2022.04.21,601975.SH,1.93,1.87,1.91,1.87,77956677
2022.04.22,601975.SH,2.0,1.85,1.86,1.96,128006410
2022.04.25,601975.SH,1.94,1.82,1.93,1.82,112597651
2022.04.26,601975.SH,1.84,1.78,1.83,1.79,68430780
2022.04.27,601975.SH,1.8,1.7,1.77,1.79,70969007
2022.04.28,601975.SH,1.9,1.77,1.79,1.86,105095298
2022.04.29,601975.SH,1.9,1.84,1.86,1.9,69749548
2022.05.05,601975.SH,2.08,1.92,1.92,2.05,232361782
2022.05.06,601975.SH,2.26,1.97,2.0,2.18,518229076
2022.05.09,601975.SH,2.4,2.17,2.2,2.4,387123730
2022.05.10,601975.SH,2.58,2.3,2.5,2.48,693413563
2022.05.11,601975.SH,2.67,2.4,2.4,2.5,590929386
2022.05.12,601975.SH,2.61,2.4,2.53,2.47,380232259
2022.05.13,601975.SH,2.72,2.47,2.47,2.72,590012458
2022.05.16,601975.SH,2.99,2.7,2.8,2.99,506460455
2022.05.17,601975.SH,3.25,2.87,3.0,3.11,546890088
2022.05.18,601975.SH,3.16,2.93,3.12,2.97,445709772
2022.05.19,601975.SH,3.07,2.84,2.89,2.92,375537324
2022.05.20,601975.SH,3.15,2.93,2.95,3.05,412986867
2022.05.23,601975.SH,3.21,2.99,2.99,3.13,345850651
2022.05.24,601975.SH,3.35,3.01,3.15,3.01,484062869
2022.05.25,601975.SH,3.31,2.98,3.01,3.18,666049444
2022.05.26,601975.SH,3.2,2.87,3.15,3.14,552309531
2022.05.27,601975.SH,3.31,3.02,3.08,3.15,429607740
2022.05.30,601975.SH,3.19,2.95,3.1,3.02,357405644
2022.05.31,601975.SH,3.32,3.12,3.12,3.32,550190595
2022.06.01,601975.SH,3.65,3.2,3.28,3.57,741153975
2022.06.02,601975.SH,3.63,3.37,3.52,3.4,455569079
2022.06.06,601975.SH,3.64,3.37,3.55,3.57,462640982
2022.06.07,601975.SH,3.93,3.55,3.57,3.93,572483581
2022.06.08,601975.SH,4.07,3.77,3.9,3.97,521709064
2022.06.09,601975.SH,4.04,3.72,3.94,3.78,402140436
2022.06.10,601975.SH,4.16,3.66,3.7,4.08,502317723
2022.06.13,601975.SH,4.29,3.97,4.07,4.11,404329880
2022.06.14,601975.SH,4.19,3.92,4.11,4.16,275943292
2022.06.15,601975.SH,4.32,4.0,4.27,4.0,255084394
2022.06.16,601975.SH,4.09,3.82,4.02,3.92,276096257
2022.06.17,601975.SH,3.95,3.59,3.92,3.78,310667040
2022.06.20,601975.SH,3.78,3.57,3.69,3.57,366975231
2022.06.21,601975.SH,3.68,3.48,3.57,3.58,355246667
2022.06.22,601975.SH,3.94,3.71,3.72,3.86,539117135
2022.06.23,601975.SH,3.88,3.55,3.68,3.84,328422743
2022.06.24,601975.SH,3.9,3.65,3.77,3.76,219924942
2022.06.27,601975.SH,4.07,3.73,3.79,4.03,268751475
2022.06.28,601975.SH,4.43,4.04,4.1,4.43,308712141
2022.06.29,601975.SH,4.56,4.23,4.5,4.25,331691847
2022.06.30,601975.SH,4.24,3.9,4.18,4.03,325958329
2022.07.01,601975.SH,3.98,3.7,3.98,3.76,275196218
2022.07.04,601975.SH,3.91,3.71,3.82,3.8,235800153
2022.07.05,601975.SH,3.97,3.76,3.81,3.91,235929590
2022.07.06,601975.SH,3.77,3.52,3.73,3.52,276373240
2022.07.07,601975.SH,3.4,3.27,3.3,3.32,319442088
2022.07.08,601975.SH,3.51,3.21,3.46,3.24,241220074
2022.07.11,601975.SH,3.37,3.2,3.27,3.33,177852027
2022.07.12,601975.SH,3.32,3.16,3.31,3.21,181724348
2022.07.13,601975.SH,3.27,3.15,3.16,3.21,138677063
2022.07.14,601975.SH,3.25,3.15,3.21,3.23,113204746
2022.07.15,601975.SH,3.29,3.13,3.25,3.17,143210682
2022.07.18,601975.SH,3.49,3.19,3.19,3.49,312377880
2022.07.19,601975.SH,3.69,3.5,3.56,3.61,273266163
2022.07.20,601975.SH,3.84,3.55,3.61,3.74,223953036
2022.07.21,601975.SH,3.75,3.6,3.74,3.61,158569099
2022.07.22,601975.SH,3.77,3.54,3.55,3.65,155368087
2022.07.25,601975.SH,3.79,3.54,3.58,3.59,165621406
2022.07.26,601975.SH,3.75,3.6,3.75,3.73,166545801
2022.07.27,601975.SH,3.83,3.66,3.7,3.7,128234957
2022.07.28,601975.SH,3.77,3.59,3.77,3.63,118636401
2022.07.29,601975.SH,3.62,3.51,3.55,3.6,83300254
2022.08.01,601975.SH,3.96,3.65,3.71,3.96,279992361
2022.08.02,601975.SH,3.98,3.64,3.93,3.7,256031856
2022.08.03,601975.SH,3.86,3.53,3.76,3.55,176167055
2022.08.04,601975.SH,3.62,3.29,3.6,3.39,170081586
2022.08.05,601975.SH,3.49,3.32,3.35,3.48,117695283
2022.08.08,601975.SH,3.51,3.39,3.45,3.47,73344470
2022.08.09,601975.SH,3.64,3.44,3.46,3.59,120088840
2022.08.10,601975.SH,3.76,3.56,3.72,3.6,118204562
2022.08.11,601975.SH,3.82,3.6,3.61,3.66,148335613
2022.08.12,601975.SH,3.91,3.68,3.71,3.78,200992136
2022.08.15,601975.SH,3.81,3.67,3.78,3.69,115719173
2022.08.16,601975.SH,3.89,3.6,3.68,3.76,233439581
2022.08.17,601975.SH,3.77,3.43,3.77,3.49,285626074
2022.08.18,601975.SH,3.56,3.39,3.49,3.42,202384626
2022.08.19,601975.SH,3.45,3.31,3.43,3.36,135307192
2022.08.22,601975.SH,3.68,3.32,3.34,3.66,297705101
2022.08.23,601975.SH,3.76,3.5,3.59,3.67,267679183
2022.08.24,601975.SH,3.72,3.5,3.69,3.52,150233495
2022.08.25,601975.SH,3.86,3.48,3.56,3.72,331489033
2022.08.26,601975.SH,3.83,3.43,3.77,3.45,304096063
2022.08.29,601975.SH,3.68,3.36,3.38,3.61,228281403
2022.08.30,601975.SH,3.97,3.69,3.74,3.88,440755838
2022.08.31,601975.SH,3.81,3.49,3.78,3.49,390999973
2022.09.01,601975.SH,3.54,3.36,3.52,3.43,192867865
2022.09.02,601975.SH,3.73,3.42,3.42,3.63,263606381
2022.09.05,601975.SH,3.99,3.73,3.74,3.99,398584781
2022.09.06,601975.SH,4.31,3.93,4.0,4.2,556973124
2022.09.07,601975.SH,4.23,4.05,4.19,4.21,309264783
2022.09.08,601975.SH,4.42,4.02,4.14,4.29,341140154
2022.09.09,601975.SH,4.44,4.19,4.34,4.37,256315502
2022.09.13,601975.SH,4.71,4.28,4.55,4.41,348878775
2022.09.14,601975.SH,4.85,4.31,4.37,4.64,372749959
2022.09.15,601975.SH,4.75,4.38,4.7,4.48,295700844
2022.09.16,601975.SH,4.59,4.24,4.35,4.24,273568039
2022.09.19,601975.SH,4.52,4.3,4.45,4.42,265357859
2022.09.20,601975.SH,4.7,4.36,4.49,4.66,306599268
2022.09.21,601975.SH,5.13,4.63,4.68,5.13,232757425
2022.09.22,601975.SH,5.64,5.16,5.32,5.55,563313248
2022.09.23,601975.SH,5.75,5.36,5.56,5.43,378413282
2022.09.26,601975.SH,5.51,5.24,5.29,5.29,289844411
2022.09.27,601975.SH,5.46,5.08,5.38,5.27,260795300
2022.09.28,601975.SH,5.63,5.05,5.45,5.55,394064818
2022.09.29,601975.SH,5.39,5.0,5.34,5.0,356693253
2022.09.30,601975.SH,5.11,4.76,4.76,4.98,329544550
2022.10.10,601975.SH,5.03,4.7,4.8,4.78,225251778
2022.10.11,601975.SH,4.84,4.56,4.75,4.81,198395541
2022.10.12,601975.SH,4.9,4.55,4.8,4.67,210338552
2022.10.13,601975.SH,4.98,4.69,4.73,4.74,271294175
2022.10.14,601975.SH,5.21,4.91,4.94,5.21,356838708
2022.10.17,601975.SH,5.73,5.08,5.15,5.73,365972005
2022.10.18,601975.SH,5.93,5.68,5.83,5.76,306910629
2022.10.19,601975.SH,6.25,5.85,5.85,6.08,324039706
2022.10.20,601975.SH,6.02,5.69,6.0,5.78,266912971
2022.10.21,601975.SH,6.12,5.58,5.7,6.06,244908198
2022.10.24,601975.SH,5.97,5.45,5.97,5.45,302721742
2022.10.25,601975.SH,5.71,5.39,5.4,5.56,239398340
2022.10.26,601975.SH,5.48,5.14,5.41,5.42,233714709
2022.10.27,601975.SH,5.68,5.21,5.32,5.4,225327284
2022.10.28,601975.SH,5.5,5.16,5.3,5.19,186367867
2022.10.31,601975.SH,5.06,4.67,4.97,4.67,304876727
2022.11.01,601975.SH,4.88,4.46,4.73,4.61,320114975
2022.11.02,601975.SH,5.05,4.73,4.8,4.99,335794823
2022.11.03,601975.SH,4.99,4.78,4.88,4.85,197308012
2022.11.04,601975.SH,5.34,4.99,5.0,5.34,317864972
2022.11.07,601975.SH,5.51,5.26,5.44,5.33,290907066
2022.11.08,601975.SH,5.31,4.83,5.3,4.95,310079357
2022.11.09,601975.SH,5.14,4.85,5.07,4.96,187788107
2022.11.10,601975.SH,4.89,4.58,4.75,4.85,212542985
2022.11.11,601975.SH,4.9,4.5,4.82,4.89,309795787
2022.11.14,601975.SH,4.93,4.67,4.8,4.8,182650324
2022.11.15,601975.SH,4.88,4.7,4.75,4.79,176331914
2022.11.16,601975.SH,5.2,4.95,5.0,5.12,335666741
2022.11.17,601975.SH,5.2,4.9,5.06,5.13,264710664
2022.11.18,601975.SH,5.38,4.95,5.3,4.96,252182058
2022.11.21,601975.SH,5.07,4.82,4.86,5.02,141867228
2022.11.22,601975.SH,5.28,5.06,5.12,5.1,263608163
2022.11.23,601975.SH,5.05,4.9,5.02,5.0,154774054
2022.11.24,601975.SH,4.95,4.81,4.87,4.91,122991610
2022.11.25,601975.SH,4.91,4.78,4.86,4.83,107256407
2022.11.28,601975.SH,4.89,4.64,4.73,4.84,104585296
2022.11.29,601975.SH,4.84,4.61,4.74,4.73,169145340
2022.11.30,601975.SH,4.71,4.26,4.7,4.44,319671390
